seed_index,seed_base,n_int,n_bd,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
10,20360701,800,800,6,76,0.055745712942101296,0.20631960505723157,0.0011483247307208517,0.0017477897766160324,0.006148909056400488,134.0502407499589,0.903505168040283,0.010471332003362477,0.20528033282607794,0.3033144590444863,134.96421725000255,135.16949758282863,6,0,0.29413652301120646,1.063522870482089
11,20370701,800,800,6,76,0.057249890344270846,0.44155962118303194,0.0011801995943127245,0.002247726496405537,0.017249176208342095,126.91693904204294,0.9107321250485256,0.010599583969451487,0.21490941697265953,0.3014100000727922,127.83827075106092,128.05318016803358,6,0,0.12278638690066211,0.6125062248937246
12,20380701,800,800,6,76,0.05957267800411929,0.2770675550800661,0.0011691628851157284,0.003379914866483143,0.10422249372952488,147.12083891697694,0.8950149583397433,0.010782584082335234,0.20519991824403405,0.30202037608250976,148.02663645939901,148.23183637764305,6,0,0.026571378683215078,0.04863244963938679
13,20390701,800,800,6,76,0.05997837676532296,0.22651302809958906,0.0012402564166455832,0.003152249672992169,0.060558214543744375,126.27297308284324,0.8557605828391388,0.010738249984569848,0.18688812491018325,0.2904397512320429,127.13947191566695,127.32636004057713,6,0,0.044133347752005246,0.0943431399598473
14,20400701,800,800,6,76,0.04886248627086617,0.27385805367862304,0.0009858224995746437,0.004559096276146786,0.11652256756306956,162.25067241687793,0.8066027481108904,0.010610083932988346,0.21461616805754602,0.297619582968764,163.0678852489218,163.28250141697936,6,0,0.024949782163766514,0.03493379508961322
15,20410701,800,800,6,76,0.06466854099531244,0.2904632503854572,0.0012626773386290617,0.002771870509710095,0.07521374811311501,117.33136250101961,0.8400817090878263,0.010492709116078913,0.18086683296132833,0.2940968330949545,118.18193691922352,118.36280375218485,6,0,0.055437669057907535,0.14891973023601765
16,20420701,800,800,6,76,0.04273505078936475,0.25351768687408294,0.0006559210860187396,0.002396800999115892,0.012991125653364455,126.71372362482361,0.8630341248353943,0.010062625166028738,0.173382707987912,0.29389541794080287,127.58682037482504,127.76020308281295,6,0,0.04123562563621536,0.12142079405689457
17,20430701,800,800,6,76,0.03457556087201258,0.09750578593623516,0.0006640548864508037,0.0023552872818106124,0.015036070264729171,98.44082774978597,0.6729460000060499,0.009173041093163192,0.14298370794858783,0.2615967921447009,99.12294679088518,99.26593049883377,6,0,0.039536059603470904,0.11526959689827332
18,20440701,800,800,6,76,0.09821741227718214,0.567634560699787,0.002115285245846227,0.0020834040751320495,0.012747760055860891,93.72996658284683,0.5530517488950863,0.008203957229852676,0.11895945912692696,0.2331676660105586,94.29122228897177,94.4101817480987,6,0,0.20080910545630778,0.8415202192318179
19,20450701,800,800,6,76,0.051667183932056424,0.19150917301104187,0.0011723139786919995,0.002459932775557873,0.035241552974015065,74.4528050009394,0.5364341668318957,0.008218917064368725,0.11233966588042676,0.22971787408459932,74.99745808483567,75.1097977507161,6,0,0.09138156887121113,0.31875763495961856
