seed_index,seed_base,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
4,20300701,0.5,800,800,1.0,0.3603605180044827,0.2057091148372548,,-1.020650309736054,-1.581292171991113,100.0,1.0,0.8,1.2,0.0217453983492984,True,63,122
4,20300701,1.0,800,800,1.0,0.3052623736678519,0.3608422603593792,,-1.1865836306364725,-1.019314368053638,100.0,1.0,0.8,1.2,0.08401344452099196,True,30,58
4,20300701,1.5,800,800,1.0,0.9313520832164858,1.238288637430265,,-0.07111789573482585,0.21373029525420584,100.0,1.0,0.8,1.2,0.8539385890731489,True,26,50
4,20300701,2.0,800,800,1.0,1.2092393644772237,0.15941947961915998,,0.18999153754250017,-1.8362163142007097,100.0,1.0,0.8,1.2,0.04242790699409346,True,73,134
4,20300701,2.5,800,800,1.0,1.1166817488410623,1.2063501467732933,,0.1103615635024863,0.1875993934565666,100.0,1.0,0.8,1.2,0.8023211749986172,True,30,54
4,20300701,3.0,800,800,1.0,1.030878448318551,0.14449549778620274,,0.030411301206215456,-1.9345069291039538,100.0,1.0,0.8,1.2,0.04253941293788437,True,64,120
5,20310701,0.5,800,800,1.0,0.31478841000330393,0.1343406888950977,,-1.1558545801328401,-2.00737625115971,100.0,1.0,0.8,1.2,0.00937806623571817,True,65,121
5,20310701,1.0,800,800,1.0,0.2908837592017487,0.18923822103268798,,-1.2348315445281655,-1.6647486288515811,100.0,1.0,0.8,1.2,0.026217510658712764,True,64,123
5,20310701,1.5,800,800,1.0,0.21078638629552304,0.31649954283540516,,-1.556910045541164,-1.1504334818368478,100.0,1.0,0.8,1.2,0.06380624338961832,True,27,57
5,20310701,2.0,800,800,1.0,1.6496740568584978,0.22247312957682547,,0.500577727100757,-1.502948950615488,100.0,1.0,0.8,1.2,0.05021945079633791,True,59,114
5,20310701,2.5,800,800,1.0,0.533339548004943,0.27113197048357085,,-0.628597006980996,-1.3051496006826095,100.0,1.0,0.8,1.2,0.06491303204365234,True,68,131
5,20310701,3.0,800,800,1.0,0.3878311392380338,0.25333166807619534,,-0.9471852422388137,-1.3730557077749141,100.0,1.0,0.8,1.2,0.06932667667597363,True,55,104
6,20320701,0.5,800,800,1.0,0.5589270440899282,0.12920441938459143,,-0.5817363258114341,-2.0463594824555478,100.0,1.0,0.8,1.2,0.012291093507071953,True,64,120
6,20320701,1.0,800,800,1.0,0.5998981348315993,0.18901620401441416,,-0.5109954134601129,-1.665922532071574,100.0,1.0,0.8,1.2,0.02144224022007253,True,67,134
6,20320701,1.5,800,800,1.0,0.3212196122829866,0.4898869954493166,,-1.1356302393620405,-0.7135805360067066,100.0,1.0,0.8,1.2,0.09052860206862937,True,33,61
6,20320701,2.0,800,800,1.0,0.5684932829341687,0.22219529440679484,,-0.5647657812805773,-1.5041985792880013,100.0,1.0,0.8,1.2,0.027104240495817448,True,65,118
6,20320701,2.5,800,800,1.0,0.9344552312465028,0.19990363177202353,,-0.06779155987238553,-1.609919869696728,100.0,1.0,0.8,1.2,0.029936276579441215,True,57,107
6,20320701,3.0,800,800,1.0,0.6216905689094244,0.16873494208154716,,-0.47531278766359336,-1.7794261853202695,100.0,1.0,0.8,1.2,0.019502071586673587,True,39,74
7,20330701,0.5,800,800,1.0,0.22546157465013814,0.1528482635511141,,-1.4896055352238227,-1.87830959118667,100.0,1.0,0.8,1.2,0.019570875625939718,True,44,84
7,20330701,1.0,800,800,1.0,0.5651960677930921,0.21844981922114426,,-0.5705825853914861,-1.52119895113759,100.0,1.0,0.8,1.2,0.02811280887697587,True,75,146
7,20330701,1.5,800,800,1.0,0.2650642804362619,0.3543543973689192,,-1.3277829147266917,-1.0374577441262263,100.0,1.0,0.8,1.2,0.073712189909386,True,50,99
7,20330701,2.0,800,800,1.0,0.503553197792094,0.18833989341817148,,-0.6860659164124792,-1.6695070048015614,100.0,1.0,0.8,1.2,0.025369286819465528,True,39,79
7,20330701,2.5,800,800,1.0,0.6240872641925619,0.18691029356455924,,-0.4714650739278754,-1.6771264907854175,100.0,1.0,0.8,1.2,0.025371643973634606,True,42,78
7,20330701,3.0,800,800,1.0,0.9163084889184964,0.15166363630159,,-0.087402192709786,-1.8860901293279848,100.0,1.0,0.8,1.2,0.02201644998096528,True,57,107
8,20340701,0.5,800,800,1.0,0.21622842100155198,0.1806019333972394,,-1.53141992542529,-1.7114599326454836,100.0,1.0,0.8,1.2,0.016326209945325663,True,48,92
8,20340701,1.0,800,800,1.0,0.5449922277264636,0.16799358429717232,,-0.6069837454729432,-1.783829489015393,100.0,1.0,0.8,1.2,0.01189512232704563,True,31,60
8,20340701,1.5,800,800,1.0,0.5548142989755004,0.18754310357662357,,-0.5891218176661212,-1.6737465742493574,100.0,1.0,0.8,1.2,0.028339002822802106,True,69,128
8,20340701,2.0,800,800,1.0,0.4247547026934256,0.18876623328862116,,-0.8562434468176355,-1.667245890373025,100.0,1.0,0.8,1.2,0.023496360593669732,True,37,68
8,20340701,2.5,800,800,1.0,0.6315314060086813,0.2081452999629398,,-0.4596076060312442,-1.5695188856444173,100.0,1.0,0.8,1.2,0.027722152151020057,True,39,75
8,20340701,3.0,800,800,1.0,0.5595680553639554,0.20580559144757835,,-0.5805901225879793,-1.58082328662387,100.0,1.0,0.8,1.2,0.047707886498873385,True,39,72
9,20350701,0.5,800,800,1.0,0.18420401376881732,0.3074753968572449,,-1.691711365122454,-1.1793602051568948,100.0,1.0,0.8,1.2,0.04247781147604245,True,38,79
9,20350701,1.0,800,800,1.0,0.3756760912961049,0.15765847058694785,,-0.9790279661804291,-1.8473241641018046,100.0,1.0,0.8,1.2,0.014249592313604426,True,64,125
9,20350701,1.5,800,800,1.0,0.8269980308961012,1.0873069156628945,,-0.18995296498171416,0.08370391940131602,100.0,1.0,0.8,1.2,0.6574229716642384,True,32,61
9,20350701,2.0,800,800,1.0,0.36776378542657073,0.4326741166850034,,-1.0003144343389372,-0.8377704516939223,100.0,1.0,0.8,1.2,0.08043264882486012,True,51,100
9,20350701,2.5,800,800,1.0,0.40526456698291585,0.5099845568866422,,-0.9032151733420156,-0.6733748343366597,100.0,1.0,0.8,1.2,0.14283261852204812,True,38,71
9,20350701,3.0,800,800,1.0,0.9644963906742369,1.1317266865725173,,-0.0361491888162563,0.12374450767180777,100.0,1.0,0.8,1.2,0.6773468130728465,True,37,69
10,20360701,0.5,800,800,1.0,0.22112425869661392,0.14303749122774806,,-1.5090304789256073,-1.9446485066666424,100.0,1.0,0.8,1.2,0.014898887914378166,True,86,164
10,20360701,1.0,800,800,1.0,0.40284075020183835,0.17638139883660553,,-0.9092139559215363,-1.7351065897416362,100.0,1.0,0.8,1.2,0.030466156554484137,True,65,120
10,20360701,1.5,800,800,1.0,0.5602667041754068,0.22867552761840212,,-0.5793423511714453,-1.47545119015735,100.0,1.0,0.8,1.2,0.03208793243728147,True,71,135
10,20360701,2.0,800,800,1.0,0.8326466929652427,0.25400881691156657,,-0.18314586488424575,-1.3703863003157946,100.0,1.0,0.8,1.2,0.03638756025797539,True,62,118
10,20360701,2.5,800,800,1.0,0.8574184793188223,1.260811456984756,,-0.15382917231104642,0.231755527155663,100.0,1.0,0.8,1.2,1.063522870482089,True,16,33
10,20360701,3.0,800,800,1.0,0.720451829935507,1.0834587143933287,,-0.3278767222168201,0.08015843733967304,100.0,1.0,0.8,1.2,0.5874557304210308,True,26,50
11,20370701,0.5,800,800,1.0,0.5312976181453185,0.12861595472972062,,-0.6324329286045178,-2.0509244101016932,100.0,1.0,0.8,1.2,0.009510441055202233,True,31,62
11,20370701,1.0,800,800,1.0,0.295189800461581,0.24408416179892975,,-1.2201367381346362,-1.4102421877565776,100.0,1.0,0.8,1.2,0.027100253744779278,True,53,105
11,20370701,1.5,800,800,1.0,0.5689237378543532,0.23922076058485775,,-0.564008882213889,-1.4303684689291294,100.0,1.0,0.8,1.2,0.03160747562932488,True,54,105
11,20370701,2.0,800,800,1.0,0.7161835928981468,0.11550380929356528,,-0.3338187302278961,-2.1584517686674776,100.0,1.0,0.8,1.2,0.023853127036266394,True,35,70
11,20370701,2.5,800,800,1.0,0.676026521871573,1.1815415769166895,,-0.3915229701709583,0.16682000696785718,100.0,1.0,0.8,1.2,0.6125062248937246,True,30,59
11,20370701,3.0,800,800,1.0,1.1409759154346066,0.20883979826158747,,0.1318839623614556,-1.566187836435332,100.0,1.0,0.8,1.2,0.03214079904467525,True,86,156
12,20380701,0.5,800,800,1.0,0.19698601396915721,0.29776978454526726,,-1.6246225478448388,-1.2114346261187303,100.0,1.0,0.8,1.2,0.04863244963938679,True,28,61
12,20380701,1.0,800,800,1.0,0.28757250059348183,0.12559965810095067,,-1.2462802745584212,-2.0746557470779328,100.0,1.0,0.8,1.2,0.016333185327173254,True,72,139
12,20380701,1.5,800,800,1.0,0.5948257510447242,0.22730332573274495,,-0.5194867717140382,-1.4814699167623768,100.0,1.0,0.8,1.2,0.01749995659238168,True,51,100
12,20380701,2.0,800,800,1.0,0.4517867389530922,0.15502538125401602,,-0.7945450269657818,-1.8641664254425527,100.0,1.0,0.8,1.2,0.020927730279024948,True,56,106
