seed_index,base_seed,maturity,n_int,n_bd,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,gpr_time_sec,benchmark_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
1,20270520,2.5,800,800,0.020525776837474145,0.07504158933002714,0.000841771050314107,0.002645449605973121,0.0079580009600002,7.790268749988172,0.08173925004666671,9.595800656825304e-05,7.872103958041407,True,Optimization terminated successfully.,49,93,0.021791476137679976
1,20270520,3.0,800,800,0.022624026053430564,0.10381266241139997,0.0007217182458252768,0.004079311488585873,0.008523440015552622,5.948131249984726,0.08184891601558775,0.00010750000365078449,6.030087666003965,True,Optimization terminated successfully.,36,71,0.019021865681780277
2,20280520,0.5,800,800,0.006500303656603894,0.015146724684562685,0.0004625715297832822,0.0012983756207453807,0.0019013909500971127,7.683289791981224,0.08183929102960974,9.9874974694103e-05,7.765228957985528,True,Optimization terminated successfully.,49,91,0.014353662863161726
2,20280520,1.0,800,800,0.019857523730850528,0.03365416629779716,0.0005467909115083399,0.0016794845188200034,0.004439396185038764,10.313358791987412,0.08219650003593415,0.00011062499834224582,10.395665917021688,True,Optimization terminated successfully.,63,123,0.01462440883552599
2,20280520,1.5,800,800,0.009761783571663855,0.016283470201805983,0.0003889756197390133,0.0017277226283615547,0.005556281122112489,12.325595542031806,0.08021729101892561,0.00011066702427342534,12.405923500075005,True,Optimization terminated successfully.,77,147,0.030679545653654158
2,20280520,2.0,800,800,0.02554776525909694,0.03501101195371348,0.0009110488294670044,0.003009363650610571,0.009815881712513606,11.738538042001892,0.0811312499572523,0.00010470801498740911,11.819773999974132,True,Optimization terminated successfully.,72,140,0.020467727579360592
2,20280520,2.5,800,800,0.027476992947459075,0.04344036876833002,0.0005698717604888062,0.0019457274920687282,0.0037641366270018692,6.196028708014637,0.08213399996748194,0.00010412500705569983,6.278266832989175,True,Optimization terminated successfully.,37,74,0.0841738640481512
2,20280520,3.0,800,800,0.020966669339236618,0.09363974751229875,0.0005909723775451871,0.0035832103317999875,0.0112495930154992,6.3668576659983955,0.08105758298188448,9.583402425050735e-05,6.4480110830045305,True,Optimization terminated successfully.,39,76,0.023391216798579844
3,20290520,0.5,800,800,0.007316340373174724,0.014976175681468362,0.0004045320496109556,0.0013413758664146027,0.002057976161858863,8.83629041700624,0.08032225002534688,0.00010029197437688708,8.916712959005963,True,Optimization terminated successfully.,54,105,0.00968934224848193
3,20290520,1.0,800,800,0.030424886572866194,0.03807849300868327,0.0011053862252207777,0.0013133456707284216,0.0035021884067546615,5.599522708042059,0.08138208399759606,9.312498150393367e-05,5.680997917021159,True,Optimization terminated successfully.,36,67,0.045713904777156755
3,20290520,1.5,800,800,0.02286313435991909,0.03283168844951234,0.0008880647798686432,0.0024937635800339063,0.009778470980739905,8.98730900004739,0.08258012495934963,0.0001016249880194664,9.069990749994759,True,Optimization terminated successfully.,54,107,0.016704064168302928
3,20290520,2.0,800,800,0.015297541123630843,0.02343330798716181,0.0005294801285753324,0.0015453697779122541,0.0030493052856164333,5.271677416982129,0.08120558399241418,0.00010237499373033643,5.352985375968274,True,Optimization terminated successfully.,30,63,0.11223495957915422
3,20290520,2.5,800,800,0.015191362529443758,0.055886193222846714,0.000443319892036512,0.0020993178212378723,0.004900869190261765,6.709352042002138,0.08213987498311326,0.00010674999793991446,6.791598666983191,True,Optimization terminated successfully.,42,80,0.039216188969242796
3,20290520,3.0,800,800,0.026035674877570497,0.0914624426569901,0.0006530973123559078,0.0020496398675711215,0.003930672758735257,6.2803006249596365,0.08154312497936189,0.00010050000855699182,6.361944249947555,True,Optimization terminated successfully.,38,75,0.03308652164880866
