seed_index,base_seed,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
8,20340520,1.5,800,800,1.0,0.3409889640914112,0.11241171876832866,,-1.0759051655906209,-2.1855870874524874,100.0,1.0,0.8,1.2,0.014111427839087186,True,58,112
8,20340520,2.0,800,800,1.0,0.5420600294559698,1.1436727547726468,,-0.6123785282216045,0.1342447985160804,100.0,1.0,0.8,1.2,0.9173754479067714,True,34,65
8,20340520,2.5,800,800,1.0,0.5435995500714459,0.2066402498569022,,-0.6095424243886294,-1.5767759210542542,100.0,1.0,0.8,1.2,0.028686085385124092,True,40,78
8,20340520,3.0,800,800,1.0,0.4634254078382915,0.21810357828282353,,-0.769109839314954,-1.5227851992937187,100.0,1.0,0.8,1.2,0.031101645474364746,True,46,81
9,20350520,0.5,800,800,1.0,0.2628032695904486,0.13313375637037989,,-1.336349551085115,-2.016400969129415,100.0,1.0,0.8,1.2,0.012787078114072661,True,52,96
9,20350520,1.0,800,800,1.0,0.3014864894322134,0.11643052003367296,,-1.1990300749890521,-2.1504605784511064,100.0,1.0,0.8,1.2,0.013201581952549502,True,74,139
9,20350520,1.5,800,800,1.0,0.5365390544677064,0.14096319207404928,,-0.6226159246536165,-1.9592564718034393,100.0,1.0,0.8,1.2,0.02899754126856835,True,69,135
9,20350520,2.0,800,800,1.0,0.6987738125950812,0.14928141943021078,,-0.3584281762454399,-1.9019220334193943,100.0,1.0,0.8,1.2,0.013785752609714867,True,40,75
9,20350520,2.5,800,800,1.0,0.3782076211444151,0.253305928436048,,-0.972311971865054,-1.3731573174475744,100.0,1.0,0.8,1.2,0.05444702901050599,True,52,99
9,20350520,3.0,800,800,1.0,0.5531733457715089,0.21613675893255443,,-0.5920838622548699,-1.5318439284422987,100.0,1.0,0.8,1.2,0.02912985762238266,True,64,123
10,20360520,0.5,800,800,1.0,0.15986305609488635,0.17236955814307742,,-1.8334377296463025,-1.7581145132403826,100.0,1.0,0.8,1.2,0.012783479956913764,True,58,111
10,20360520,1.0,800,800,1.0,0.3141467413376433,0.1433192402233479,,-1.1578950731373439,-1.9426806878199163,100.0,1.0,0.8,1.2,0.024561085855428287,True,66,126
10,20360520,1.5,800,800,1.0,0.19744542172477667,0.278353970804804,,-1.6222930785288021,-1.2788616989440287,100.0,1.0,0.8,1.2,0.03344320539208168,True,51,99
10,20360520,2.0,800,800,1.0,0.4996492405753266,0.27238809047652385,,-0.6938489455887799,-1.3005274263801652,100.0,1.0,0.8,1.2,0.058837246548622685,True,45,86
10,20360520,2.5,800,800,1.0,0.49606658527399666,0.2164226863741712,,-0.7010451167631712,-1.5305219021341772,100.0,1.0,0.8,1.2,0.029121314725218707,True,44,85
10,20360520,3.0,800,800,1.0,0.22394721453606245,0.36883115987519793,,-1.4963449042893564,-0.9974163009685575,100.0,1.0,0.8,1.2,0.10060038927464933,True,40,78
11,20370520,0.5,800,800,1.0,0.16524129439986113,0.14614135178191398,,-1.8003484830307257,-1.9231809627513898,100.0,1.0,0.8,1.2,0.007740925255005471,True,46,87
11,20370520,1.0,800,800,1.0,0.26175561584797785,0.12904535408315534,,-1.340343974455045,-2.047591354370984,100.0,1.0,0.8,1.2,0.01839470290187154,True,60,115
11,20370520,1.5,800,800,1.0,0.34764658032017254,0.15315678058722604,,-1.0565688890447515,-1.8762931725258922,100.0,1.0,0.8,1.2,0.02797370362157547,True,30,61
11,20370520,2.0,800,800,1.0,0.44976360864370246,0.24717339441740974,,-0.7990331483686823,-1.397665186952172,100.0,1.0,0.8,1.2,0.046360961805559334,True,40,76
11,20370520,2.5,800,800,1.0,0.22215520647776785,0.35413917688286795,,-1.5043790131079517,-1.038065288077203,100.0,1.0,0.8,1.2,0.08068593546378142,True,39,76
11,20370520,3.0,800,800,1.0,0.6245958437135696,0.17215483029439974,,-0.47065048847235047,-1.759361030954007,100.0,1.0,0.8,1.2,0.02505925310231072,True,36,70
12,20380520,0.5,800,800,1.0,0.12404642255968945,0.1155592933784201,,-2.0870994079567486,-2.1579715181620562,100.0,1.0,0.8,1.2,0.007300739335086239,True,62,119
12,20380520,1.0,800,800,1.0,0.36512744896404165,0.11882026913405434,,-1.0075088111031842,-2.1301432710002617,100.0,1.0,0.8,1.2,0.010957615917002384,True,67,128
12,20380520,1.5,800,800,1.0,0.38972443804341395,0.11948338678146327,,-0.9423153587155015,-2.124577940024391,100.0,1.0,0.8,1.2,0.019564499107005577,True,63,123
12,20380520,2.0,800,800,1.0,0.3358114645784501,0.24435882973479459,,-1.0912053938302155,-1.4091175203150237,100.0,1.0,0.8,1.2,0.030850833365228307,True,50,95
12,20380520,2.5,800,800,1.0,0.5684478147848572,0.20351976809731379,,-0.5648457645786162,-1.5919921382899824,100.0,1.0,0.8,1.2,0.049124604514837966,True,34,66
12,20380520,3.0,800,800,1.0,0.512379844115781,0.16985442780276316,,-0.6686890459631833,-1.772813515814754,100.0,1.0,0.8,1.2,0.03255519787118343,True,41,75
13,20390520,0.5,800,800,1.0,0.17985411065501247,0.0986043204465446,,-1.715609253082725,-2.3166402004172504,100.0,1.0,0.8,1.2,0.013140449686026946,True,53,104
13,20390520,1.0,800,800,1.0,0.22935447177164112,0.17766377647913464,,-1.4724865605417583,-1.7278624110887566,100.0,1.0,0.8,1.2,0.022838486199941485,True,60,115
13,20390520,1.5,800,800,1.0,0.14772843799333304,0.2117534629748651,,-1.9123795690929097,-1.5523325915111372,100.0,1.0,0.8,1.2,0.02873496016185069,True,36,71
13,20390520,2.0,800,800,1.0,0.5035075909604538,0.1474067507786536,,-0.6861564905509634,-1.9145595012345757,100.0,1.0,0.8,1.2,0.022010253486545204,True,40,78
13,20390520,2.5,800,800,1.0,0.4635806868462461,0.19645508972946868,,-0.7687748274735061,-1.6273214247896504,100.0,1.0,0.8,1.2,0.02872180711761535,True,39,74
13,20390520,3.0,800,800,1.0,0.5033920152811603,0.20970194578225854,,-0.6863860579856604,-1.5620680622319583,100.0,1.0,0.8,1.2,0.03309492040906209,True,41,78
14,20400520,0.5,800,800,1.0,0.11369304031485676,0.12776120419192571,,-2.1742530910502413,-2.057592349697713,100.0,1.0,0.8,1.2,0.011849763277092794,True,45,86
14,20400520,1.0,800,800,1.0,0.38021207681426245,0.1810446252545802,,-0.9670260850602115,-1.709011729736519,100.0,1.0,0.8,1.2,0.024859331260787074,True,62,126
