seed_index,seed_base,maturity,n_int,n_bd,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
3,20290701,0.5,800,800,0.0253034813963754,0.07857506614888704,0.0007381744096217619,0.001893409047629589,0.0021695275585319434,15.843259459012188,0.12792029103729874,0.0016510420246049762,0.026866416912525892,0.02915333304554224,15.972830792074092,15.999697208986618,True,Optimization terminated successfully.,44,82,0.02707103737228507
3,20290701,1.0,800,800,0.007476251430077431,0.03208237960893712,0.00019676131767016553,0.0019138957253813985,0.002165143360024386,11.698424709029496,0.13427933293860406,0.0013094589812681079,0.024186499998904765,0.03743916703388095,11.834013500949368,11.858200000948273,True,Optimization terminated successfully.,31,61,0.021424906040331343
3,20290701,1.5,800,800,0.07497847356469459,0.13740528436767363,0.0018192080365471016,0.002722050454688637,0.004174715046102625,22.714791457983665,0.12927795795258135,0.0016221670666709542,0.03173341695219278,0.048097250051796436,22.845691583002917,22.87742499995511,True,Optimization terminated successfully.,60,115,0.029164079218667253
3,20290701,2.0,800,800,0.07514310625438715,0.15428341674929413,0.0016226075930253674,0.0034653725442621215,0.006410753278418461,17.796149291913025,0.13575854199007154,0.0016394159756600857,0.033175582997500896,0.05104266700800508,17.933547249878757,17.966722832876258,True,Optimization terminated successfully.,43,81,0.026877073104422094
3,20290701,2.5,800,800,0.16339343543076365,0.30428373242516216,0.003038529185748261,0.008659848904010009,0.02077887380980508,16.75429229089059,0.17325912497472018,0.0017677920404821634,0.03282095806207508,0.06155874999240041,16.92931920790579,16.962140165967867,True,Optimization terminated successfully.,38,73,0.0365513032469402
3,20290701,3.0,800,800,0.041859135111595246,0.06034935544819575,0.0006068371650201378,0.003599444103061827,0.0053713834465836585,15.08097812498454,0.15069045801647007,0.0017525419825688004,0.0315836250083521,0.0668154580052942,15.233421124983579,15.265004749991931,True,Optimization terminated successfully.,33,65,0.06479075197625017
4,20300701,0.5,800,800,0.015901529361507752,0.04161683829459939,0.0003004578072333676,0.0019512000101512188,0.00246477893802564,19.140708916937,0.1314747080905363,0.001668333075940609,0.036629750044085085,0.032649749889969826,19.273851958103478,19.310481708147563,True,Optimization terminated successfully.,46,88,0.018105650005099755
4,20300701,1.0,800,800,0.06365497462325834,0.10566094405372084,0.0015821049486932223,0.0018490309124079604,0.0023210234570509593,21.48274779203348,0.23358849994838238,0.0024918330600485206,0.07134158397093415,0.05672079196665436,21.71882812504191,21.790169709012844,True,Optimization terminated successfully.,51,92,0.03646918806821658
4,20300701,1.5,800,800,0.02067522074542855,0.04960839150418295,0.00019751414464694818,0.0021069627693221286,0.0027530689526673695,22.48945320805069,0.14730212499853224,0.0020157499238848686,0.039985333918593824,0.05221729096956551,22.638771082973108,22.6787564168917,True,Optimization terminated successfully.,47,88,0.049101339821111936
4,20300701,2.0,800,800,0.051462687987634106,0.10232151904561704,0.0010237647688081705,0.004830062549642837,0.011203098471427085,13.0918595000403,0.14195249998010695,0.0017933750059455633,0.03505845891777426,0.04991254198830575,13.235605375026353,13.270663833944127,True,Optimization terminated successfully.,31,65,0.05117364867014145
