seed_index,seed_base,n_int,n_bd,n_maturities,n_validation_spots,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,series_benchmark_time_sec,total_gpr_price_time_sec,total_gpr_with_std_time_sec,tuning_success_count,tuning_failure_count,mean_objective_value,max_objective_value
10,20360701,1000,1000,6,76,0.04239430691188693,0.1708286323945316,0.0008476804305720982,0.0022288206265631276,0.004506811275854293,120.91776229289826,0.9796794580761343,0.010212625027634203,0.2526804992230609,0.23160479206126183,121.90765437600203,122.16033487522509,6,0,0.035174656859284656,0.0592048702475316
11,20370701,1000,1000,6,76,0.06947025282488466,0.3279641497441048,0.0012829129076165366,0.0028012283348576657,0.01572099930281596,117.41268808220048,0.9769228759687394,0.009979251073673368,0.2545531259384006,0.22971183399204165,118.39959020924289,118.65414333518129,6,0,0.03313940656018315,0.050407534668508926
12,20380701,1000,1000,6,76,0.04293282096015601,0.13229302238376306,0.0007656147438666906,0.002478747668088781,0.007524898941456909,143.78744324820582,0.9807905000634491,0.010337292915210128,0.252134749898687,0.23137425095774233,144.77857104118448,145.03070579108316,6,0,0.028464865647406672,0.056531611211838806
13,20390701,1000,1000,6,76,0.041572832099455254,0.11885225263272048,0.0008024958256444202,0.002473146277127137,0.007785472261354068,118.96293108304963,0.9854966250713915,0.01007258309982717,0.2596274169627577,0.23280499898828566,119.95850029122084,120.2181277081836,6,0,0.036513538112187126,0.04969582321264018
14,20400701,1000,1000,6,76,0.055420487461505644,0.3005217420036246,0.001168847103669924,0.002620442737085956,0.01051424047437044,120.90037537598982,0.9779796260409057,0.009768499992787838,0.2555359988473356,0.23019775096327066,121.88812350202352,122.14365950087085,6,0,0.04437330754678387,0.06478853338133356
15,20410701,1000,1000,6,76,0.06615647395474385,0.17866186118455696,0.0012794862213350339,0.0021771315109432765,0.003905067281828125,136.08314941485878,0.9753983749542385,0.010191707988269627,0.25447633292060345,0.2307925010100007,137.0687394978013,137.3232158307219,6,0,0.04359238333353937,0.057649593753678424
16,20420701,1000,1000,6,76,0.04661253329937548,0.17448406368725244,0.0009157762768766458,0.0023292289746694463,0.006043680042936124,121.74408154108096,0.9818938339594752,0.009908208856359124,0.25818045798223466,0.2298932506237179,122.7358835838968,122.99406404187903,6,0,0.03283526739616657,0.05306271333304802
17,20430701,1000,1000,6,76,0.0562939326577682,0.2594321361980292,0.0011225169074097069,0.0024686957122645745,0.004886653295561743,141.67496066598687,0.9790817479370162,0.010324208065867424,0.25219729298260063,0.23098462505731732,142.66436662198976,142.91656391497236,6,0,0.035753298990885356,0.0724302524014439
18,20440701,1000,1000,6,76,0.04708324320283211,0.15082774976950475,0.0010314332969319784,0.00207576193948728,0.003284297580922802,124.99205258383881,0.9816405408782884,0.00990612618625164,0.25348266609944403,0.2308535419870168,125.98359925090335,126.2370819170028,6,0,0.030549146059034877,0.038565486483526396
19,20450701,1000,1000,6,76,0.055707883376038284,0.2715699894420567,0.0011349318762342224,0.0029156791666643603,0.009643373907253274,119.77929737593513,0.9835659991949797,0.010275791981257498,0.25941470894031227,0.23102491616737098,120.77313916711137,121.03255387605168,6,0,0.03206540450624693,0.056007495580415456
