seed_index,seed_base,maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
2,20280701,3.0,800,800,1.0,0.9886536446581571,0.2966533194582578,,-0.011411216322162245,-1.2151910965263104,100.0,1.0,0.8,1.2,0.03137784596375172,True,41,81
3,20290701,0.5,800,800,1.0,0.49720458307703674,0.2566185359942145,,-0.6987537016144587,-1.3601645924874475,100.0,1.0,0.8,1.2,0.02707103737228507,True,44,82
3,20290701,1.0,800,800,1.0,0.5394572942130881,0.22522690648645072,,-0.6171916555022152,-1.4906469116721537,100.0,1.0,0.8,1.2,0.021424906040331343,True,31,61
3,20290701,1.5,800,800,1.0,0.8535589787472587,0.20328448526801038,,-0.15834063691217448,-1.5931488757311072,100.0,1.0,0.8,1.2,0.029164079218667253,True,60,115
3,20290701,2.0,800,800,1.0,1.0054585690256845,0.23325291517656785,,0.005443725031258895,-1.455631941255323,100.0,1.0,0.8,1.2,0.026877073104422094,True,43,81
3,20290701,2.5,800,800,1.0,0.8158587997708848,0.197263133407583,,-0.2035139784875557,-1.6232167389247236,100.0,1.0,0.8,1.2,0.0365513032469402,True,38,73
3,20290701,3.0,800,800,1.0,0.7245816873335178,0.4243739013672131,,-0.3221607736344534,-0.8571403694979458,100.0,1.0,0.8,1.2,0.06479075197625017,True,33,65
4,20300701,0.5,800,800,1.0,0.5046506445352672,0.20307666929456253,,-0.6838888821054413,-1.5941716899899592,100.0,1.0,0.8,1.2,0.018105650005099755,True,46,88
4,20300701,1.0,800,800,1.0,0.9207546051720792,0.2267363395186479,,-0.08256172212499094,-1.4839674364823896,100.0,1.0,0.8,1.2,0.03646918806821658,True,51,92
4,20300701,1.5,800,800,1.0,1.1508521315405773,0.25287652560583945,,0.14050265193041991,-1.374853950469067,100.0,1.0,0.8,1.2,0.049101339821111936,True,47,88
4,20300701,2.0,800,800,1.0,0.598916549233015,0.2190555762106743,,-0.5126330073784944,-1.518429808708988,100.0,1.0,0.8,1.2,0.05117364867014145,True,31,65
