maturity,m,d,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,mean_posterior_std,max_posterior_std,optimization_time_sec,final_fit_time_sec,pricing_time_sec,posterior_std_time_sec,benchmark_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
1.5,600,600,200,200,200,20260712,20260713,0.03499779249985463,0.0727495917417933,0.0009587238329015812,0.0028065388192725018,0.004131357495101062,4.154512041946873,0.028921624994836748,0.00045829196460545063,0.007526166969910264,9.887502528727055e-05,4.191517000901513,True,Optimization terminated successfully.,55,104,0.022859954630567336
1.5,800,800,268,266,266,20260712,20260713,0.030432961743981402,0.05119813134601969,0.0009737720484904466,0.0032549390997508075,0.006257521646229618,9.349277041037567,0.06468808406498283,0.0006554160499945283,0.019142000004649162,0.00010408402886241674,9.433866625186056,True,Optimization terminated successfully.,58,110,0.011853519603429074
2.0,200,200,68,66,66,20260812,20260813,0.10504411205934427,0.24973037494648143,0.0023833048173968353,0.005102307736064613,0.006118093048541189,0.3514922499889508,0.002724834019318223,0.00020300003234297037,0.0008706249063834548,7.462501525878906e-05,0.3553653339622542,True,Optimization terminated successfully.,44,84,0.11842793416965153
2.0,400,400,134,133,133,20260812,20260813,0.19008236758325578,0.4622959635980024,0.004618924262276599,0.013596721805434996,0.03466494922345014,1.9972051669610664,0.012094666948541999,0.00033120799344033003,0.0033084170427173376,9.958399459719658e-05,2.0130390429403633,True,Optimization terminated successfully.,59,116,0.024589236669068818
2.0,600,600,200,200,200,20260812,20260813,0.04092887833190424,0.06716418599700091,0.001186710790193878,0.002976481827309908,0.003723815248241688,3.7581422498915344,0.028413041960448027,0.000459291972219944,0.007581209065392613,0.00010783399920910597,3.794703626888804,True,Optimization terminated successfully.,48,94,0.03265325404826349
2.0,800,800,268,266,266,20260812,20260813,0.01705388733799723,0.03995512851204808,0.000250710773727573,0.0025770928093953142,0.0032966985519687127,10.15601720905397,0.06954350008163601,0.0006784580182284117,0.020897625014185905,0.00010720803402364254,10.247244000202045,True,Optimization terminated successfully.,60,115,0.024799373328085118
2.5,200,200,68,66,66,20260912,20260913,0.1052924395230605,0.18695561013311135,0.001748122332303726,0.005491321425141005,0.0067460419505453876,0.47168541699647903,0.0027884169248864055,0.0001949169673025608,0.0008866660064086318,9.233294986188412e-05,0.4756477498449385,True,Optimization terminated successfully.,58,110,0.22993834520605835
2.5,400,400,134,133,133,20260912,20260913,0.048617021764115594,0.09029500376087185,0.001144746895005517,0.006187689248389214,0.00937773532898964,1.438427000073716,0.012257083086296916,0.00034312496427446604,0.0032008750131353736,0.00010212499182671309,1.4543302081292495,True,Optimization terminated successfully.,42,81,0.10678647231717757
2.5,600,600,200,200,200,20260912,20260913,0.03573376713968146,0.05911622360183344,0.0009186751928170429,0.004051914979914207,0.006468274049324604,5.002723208977841,0.02870904200244695,0.00045062496792525053,0.007638167007826269,9.799993131309748e-05,5.039619042887352,True,Optimization terminated successfully.,64,124,0.056997358117448715
2.5,800,800,268,266,266,20260912,20260913,0.016666375759530547,0.05852366636159445,0.0005784413453060875,0.002978266727077314,0.003995327106518677,6.718575790990144,0.06391500006429851,0.0005759160267189145,0.018085834104567766,9.683403186500072e-05,6.801249375217594,True,Optimization terminated successfully.,44,79,0.03590000417407126
3.0,200,200,68,66,66,20261012,20261013,0.27639314477886173,0.44556367057718305,0.005493035765803884,0.0055541356744121815,0.007053049073693701,0.3886625829618424,0.0028704999713227153,0.0001932079903781414,0.0008936250815168023,7.920805364847183e-05,0.39269912405870855,True,Optimization terminated successfully.,51,93,0.09769061231347906
3.0,400,400,134,133,133,20261012,20261013,0.03580897367943182,0.14008234333860514,0.0009263318696674101,0.0050798403903436285,0.006105069006577463,1.3873612080933526,0.01216862490400672,0.000330875045619905,0.0031850419472903013,9.437499102205038e-05,1.4031401249812916,True,Optimization terminated successfully.,42,81,0.02014591017649551
3.0,600,600,200,200,200,20261012,20261013,0.0328020435562496,0.10729485522458049,0.0010042599544618797,0.0039074807291569124,0.005549659810276221,3.8479032499017194,0.028850042028352618,0.000465832999907434,0.007712208898738027,0.0001016249880194664,3.885032958816737,True,Optimization terminated successfully.,50,96,0.012484030377246135
3.0,800,800,268,266,266,20261012,20261013,0.020300258842857567,0.10885464375715515,0.00064725741313166,0.0032132632254914936,0.004304045592383712,8.766343499999493,0.0645983750000596,0.0006050409283488989,0.017274665995500982,0.00010041589848697186,8.84892199782189,True,Optimization terminated successfully.,54,103,0.013503279775173934
