maturity,n_int,n_bd,sigma_f,ell_t,ell_x,log_sigma_f,log_ell_t,log_ell_x,initial_sigma_f,fixed_sigma_f,initial_ell_t,initial_ell_x,objective_value,success,nit,nfev
3.0,600,360,1.0,1.3825080380589727,0.12430667625661541,,0.32389926854498974,-2.0850035710742554,100.0,1.0,0.8,1.2,0.07889367279643181,True,89,174
3.0,800,480,1.0,1.6712231760810756,0.13084721412563777,,0.5135557990919417,-2.0337249408276796,100.0,1.0,0.8,1.2,0.07476424457834256,True,106,208
0.5,200,150,1.0,0.6735414402561476,1.0014421862672493,,-0.39520575531984536,0.0014411473154227234,100.0,1.0,0.8,1.2,0.8766463160451042,True,71,138
0.5,400,300,1.0,0.2849713038727433,0.18362917549003577,,-1.2553667919486933,-1.6948369055224712,100.0,1.0,0.8,1.2,0.0123602408294155,True,114,227
0.5,600,450,1.0,0.279420163380968,0.11628497686563549,,-1.2750386680453154,-2.151711403505326,100.0,1.0,0.8,1.2,0.005974727140041582,True,75,150
0.5,800,600,1.0,0.22742076925862711,0.11377937653921787,,-1.4809533682452116,-2.173493999203407,100.0,1.0,0.8,1.2,0.0063877991304522284,True,81,157
1.0,200,150,1.0,0.724100282325024,1.0068667137558425,,-0.32282538468960065,0.006843245250028659,100.0,1.0,0.8,1.2,0.7192132183555218,True,57,114
1.0,400,300,1.0,0.2273190731111935,0.3152013123868459,,-1.4814006400241655,-1.1545437573432298,100.0,1.0,0.8,1.2,0.07030787357323218,True,57,113
1.0,600,450,1.0,0.681807684260396,0.17561588366738284,,-0.38300764879271776,-1.7394561481851183,100.0,1.0,0.8,1.2,0.033909629479476455,True,79,149
1.0,800,600,1.0,0.5633381705571234,0.13900464833282145,,-0.5738751729822007,-1.9732479051672716,100.0,1.0,0.8,1.2,0.02946911474340903,True,85,166
1.5,200,150,1.0,1.3419650683828626,0.16970382009833235,,0.2941350086897494,-1.7737005961035588,100.0,1.0,0.8,1.2,0.06424591848214535,True,82,159
1.5,400,300,1.0,0.3996953358931552,0.13903959497051316,,-0.9170526823518189,-1.9729965305122126,100.0,1.0,0.8,1.2,0.027417869853172783,True,66,127
1.5,600,450,1.0,0.38069686977212847,0.13487938694883278,,-0.9657518379229222,-2.0033743298988202,100.0,1.0,0.8,1.2,0.01749517489788884,True,142,276
1.5,800,600,1.0,0.3244998139065773,0.12962698789902166,,-1.1254703163155766,-2.043094276781307,100.0,1.0,0.8,1.2,0.01389270630881716,True,86,171
