maturity,n_int,n_bd,n_terminal,n_lower,n_upper,train_seed,tune_seed,mae,max_abs_error,mre_itm,optimization_time_sec,final_fit_time_sec,pricing_time_sec,total_time_sec,tuning_success,tuning_message,tuning_nit,tuning_nfev,tuning_objective_value
1.0,200,150,50,50,50,20260612,20260613,0.8455389410630709,1.6440747785575383,0.04017727764597232,0.40185504202963784,0.0023002910311333835,0.00018795800860971212,0.40434329106938094,True,Optimization terminated successfully.,57,114,0.7192132183555218
1.0,400,300,100,100,100,20260612,20260613,0.01727874642727781,0.024859468069010404,0.0007536476268573565,1.539125083014369,0.00930466700810939,0.00030162499751895666,1.5487313750199974,True,Optimization terminated successfully.,57,113,0.07030787357323218
1.0,600,450,150,150,150,20260612,20260613,0.03622273842013975,0.05934467014991185,0.001483192147238274,4.920649542007595,0.023370750015601516,0.0004223340074531734,4.94444262603065,True,Optimization terminated successfully.,79,149,0.033909629479476455
1.0,800,600,200,200,200,20260612,20260613,0.01025295936837121,0.02261944091651813,0.00023131179159448998,10.576611292024609,0.04269520903471857,0.0006165829836390913,10.619923084042966,True,Optimization terminated successfully.,85,166,0.02946911474340903
1.5,200,150,50,50,50,20260712,20260713,0.061773680480424496,0.09918740229989709,0.0026110552716697394,0.5570544169750065,0.0023280419991351664,0.00019054196309298277,0.5595730009372346,True,Optimization terminated successfully.,82,159,0.06424591848214535
1.5,400,300,100,100,100,20260712,20260713,0.022172859598897834,0.04537097771363752,0.0008525936718653251,1.6943004170316271,0.009218833001796156,0.00029679195722565055,1.703816041990649,True,Optimization terminated successfully.,66,127,0.027417869853172783
1.5,600,450,150,150,150,20260712,20260713,0.013779989404146,0.018509109125439238,0.0004872204524393524,9.046374499972444,0.02325266698608175,0.00041366700315847993,9.070040833961684,True,Optimization terminated successfully.,142,276,0.01749517489788884
1.5,800,600,200,200,200,20260712,20260713,0.018822037006182003,0.026153567349616935,0.000586265330911084,10.268380041001365,0.042622916982509196,0.0005608339561149478,10.311563791939989,True,Optimization terminated successfully.,86,171,0.01389270630881716
2.0,200,150,50,50,50,20260812,20260813,0.31398818369283593,0.7542251041963315,0.0034747981280552876,0.3748975829803385,0.002319374994840473,0.00019158399663865566,0.3774085419718176,True,Optimization terminated successfully.,54,108,0.9550592545587621
2.0,400,300,100,100,100,20260812,20260813,0.11778334421998463,0.15848334334225456,0.003550334345726619,2.1728120000334457,0.009064083977136761,0.0002935000229626894,2.182169584033545,True,Optimization terminated successfully.,85,164,0.06083751258816533
